﻿social_category,document_type,sequence_number,text_title,author_name,text_contents,text_contents_punctuated
帝王,即位冊文,1,太宗即位冊文,,"維武徳九年嵗次丙戌八月丙辰朔九日甲子(云云/)夫
天生蒸民樹以司牧三靈輔徳百姓與能粤自夏殷𫝊
業胤祚軌物長世罔不由兹朕祗膺靈命肇開寳厯聲教所
覃無思不服然而萬幾填委九區輻凑明發不寐考極
觀書聴政勞神經謀損慮深思閒曠釋兹重負咨爾聰
明神武實天生徳君人之量爰備夙成王業初基雲雷
伊始英謀獨斷秘策潛申及拓定闗隴澄清河洛北通
𤣥塞東静青丘宏圖遐舉元功克茂氛霧廓清鯨鯢斯
静澤霑方外聲暢無垠總統機衡百工以乂敷𢎞徳化
四門允穆謳歌所屬宇内宅心象緯告徴靈命斯在朕
是用上稽蒼昊俯順黔黎推而弗居永垂顯號今𫝊皇
帝位於爾躬命司空魏國公寂尚書左僕射宋國公瑀
齎璽綬授爾其纂成洪緒對揚休命式隆寳祚以康四
海",維武徳九年嵗次丙戌八月丙辰朔九日甲子，(云云/)。夫天生蒸民，樹以司牧，三靈輔徳，百姓與能，粤自夏殷，𫝊業胤祚，軌物長世，罔不由兹。朕祗膺靈命，肇開寳厯，聲教所覃，無思不服。然而萬幾填委，九區，輻凑，明發不寐。考極觀書，聴政勞神，經謀損慮，深思閒曠，釋兹重負。咨爾聰明神武，實天生徳，君人之量，爰備夙成，王業初基，雲雷伊始，英謀獨斷，秘策潛申。及拓定闗隴，澄清河洛，北通𤣥塞，東静青丘，宏圖遐舉，元功克茂，氛霧廓清，鯨鯢斯静，澤霑方外，聲暢無垠。總統機衡，百工，以乂敷𢎞。徳化四門允穆，謳歌所屬，宇内，宅心，象緯，告徴，靈命斯在。朕是用上稽蒼昊，俯順黔黎，推而弗居，永垂顯號。今𫝊皇帝位於爾，躬命司空魏國公寂。尚書左僕射宋國公瑀齎璽綬授爾其纂成洪緒，對揚休命，式隆寳祚，以康四海。
帝王,即位冊文,2,肅宗即位冊文,,"維天寳十五載嵗次丙申七月癸丑朔十二日甲子皇
帝若曰咨爾元子某維天為大惟人君則之順乃徳故
舜禹揖讓而履皇極咈乃道故丹朱商均不能保鴻業
是以咨有恵迪而夏嗣焉隋有亂紀而唐受焉五聖之
御極皆勤儉兢業日慎一日故能享祚長久垂慶無窮
洎予六葉沗位四紀厭于勤倦緬慕汾陽當保静怡神思
我烈祖𤣥元之道是用命爾元子某當位嗣統於戲爾
有忠孝之誠拯於君父爾有友愛之義信于兄弟爾有
仁恕之行通于神明爾有戡難之才彰於兆庶予懋乃
懿績嘉乃神武天之厯數在爾躬汝惟推誠禍亂將兾
爾而能清汝惟從諌社稷將兾爾而復寜佞言為疵直
言惟師任賢勿貳去邪勿疑民非后何戴后非賢罔與
守邦欽哉慎乃有位無忝我祖宗之丕烈",維天寳十五載，嵗次丙申。七月癸丑朔十二日甲子，皇帝若曰：咨爾元子某，維天為大，惟人君則之順乃徳。故舜。禹揖讓而履皇極，咈乃道，故丹。朱商均，不能保鴻業。是以咨有恵迪而夏嗣焉。隋有亂紀，而唐受焉。五聖之御，極皆勤儉兢業，日慎一日，故能享祚長久，垂慶無窮。洎予六葉，沗位四紀，厭于勤倦，緬慕汾陽，當保静怡神思我烈祖𤣥元之道，是用命爾元子某當位，嗣，統於戲，爾有忠孝之誠，拯於君父，爾有友愛之義，信于兄弟，爾有仁恕之行，通于神明，爾有戡難之才，彰於兆庶。予懋乃懿績，嘉乃神武，天之厯數在爾躬。汝惟推誠，禍亂將兾爾而能清。汝惟從諌，社稷將兾爾而復寜，佞言為疵，直言惟師，任賢勿貳，去邪勿疑，民非后何戴。后非賢，罔與守邦。欽哉！慎乃有位，無忝我祖宗之丕烈。
帝王,即位冊文,3,徳宗即位冊文,,"維大厯十四年嵗次已未五月辛丑朔二十三日癸亥
皇帝若曰於戲昊天有命皇王受之立嫡以賢春秋之
義𫝊之於子漢氏成規宗廟社稷實賴其慶咨爾皇太
子适稟天地之仁含日月之耀道光三善孝著十倫頃
者國步多艱委以戎律理軍靖難保大定功克復帝圖
廓清妖孽既表建侯之䇿俾承守器之重仁孝之徳夙
夜惟寅朕天命有終弗興弗寤非至公無以主天下非
至徳無以臨四海是用命汝陟於元后嗣守皇業上繼
宗祧下安羣望其命門下侍郎同中書門下平章事常
衮奉冊即皇帝位於戲宜遵太宗之法度肅宗之儉約
任賢勿貳去邪勿疑與衆守邦祇敬予訓",維大厯十四年，嵗次已未。五月辛丑朔，二十三日癸亥，皇帝若曰：於戲，昊天有命，皇王受之，立嫡以賢，春秋之義，𫝊之於子，漢氏成規，宗廟社稷，實賴其慶。咨爾皇太子，适稟天地之仁，含日月之耀，道光三善，孝著十倫。頃者國步多艱，委以戎律，理軍靖難，保大定功，克復帝圖，廓清妖孽，既表建侯之䇿，俾承守器之重，仁孝之徳，夙夜惟寅。朕天命有終，弗興弗寤，非至公無以主天下，非至徳無以臨四海。是用命汝陟於元后，嗣守皇業，上繼宗祧，下安羣望。其命門下侍郎。同中書門下平章事常衮奉冊，即皇帝位於戲，宜遵太宗之法，度，肅宗之儉約，任賢勿貳，去邪勿疑，與衆守邦，祇敬予訓。
帝王,即位冊文,4,順宗即位冊文,,"維貞元二十一年嵗次乙酉正月辛未朔二十三日癸
巳皇帝若曰於戲天下之大實惟重器祖宗之業允屬
元良咨爾皇太子誦睿哲温恭寛仁慈恵文武之道稟
自生知孝友之誠發於天性自膺上嗣毓徳春闈恪慎
于厥躬祇勤於大訓必能誕敷至化安勤庶邦朕寢疾
彌留弗興弗寤是用命爾繼統俾紹前烈宜陟元后永
綏兆人其命中書侍郎同中書門下平章事髙郢奉冊
即皇帝位爾惟奉若天道以康四海懋建皇極以熈庶
工無忝我髙祖太宗之休烈",維貞元二十一年嵗次乙酉正月辛未朔二十三日癸巳，皇帝若曰：於戲天下之大，實惟重器祖宗之業，允屬元良。咨爾皇太子，誦睿哲温恭。寛仁慈恵文武之道。稟自生，知孝友之誠，發於天性，自膺上嗣，毓徳春闈，恪慎于厥躬，祇勤於大訓。必能誕敷至化，安勤庶邦。朕寢疾彌留，弗興弗寤。是用命爾繼統，俾紹前烈，宜陟元后，永綏兆人。其命中書侍郎。同中書門下平章事。髙郢奉冊，即皇帝位。爾惟奉若天道，以康四海，懋建皇極，以熈庶工。無忝我髙祖太宗之休烈。
帝王,即位冊文,5,憲宗即位冊文,,"維永貞元年嵗次乙酉八月丁酉朔九日乙巳太上皇
若曰咨爾皇太子純惟皇上帝降休於我家用集大命
克綏厥猷惟后祇率大典兹惟艱哉朕承累聖休徳膺
守邦之重不蒙天佑降疾在躬上不能昭事郊丘祇見
烈祖下不能臨視庻政保綏兆人是用命爾當位嗣統
宜陟元后代予憂勤今遣使檢校司徙平章事杜佑副
使門下侍郎平章事杜黄裳持節冊命於戲爾有光大
之徳敷於萬邦爾有仁孝之誠型于九族慈和寛簡克
饗天心𤣥符不可以固違明命不可以不畏爾惟察納
忠直子恵困窮咨於正言慎乃儉徳臨庶官以信安庶
獄以情允執厥中無忝我祖宗之丕訓",維永貞元年嵗次乙酉八月丁酉朔九日乙巳，太上皇若曰：咨爾皇太子純，惟皇上帝降休於我家，用集大命，克綏厥猷。惟后祇率大典，兹惟艱哉！朕承累聖休，徳，膺守邦之重，不蒙天佑，降疾在躬，上不能昭事郊丘，祇見烈祖，下不能臨視庻政，保綏兆人，是用命。爾當位嗣統，宜陟元后，代予憂勤。今遣使檢校司，徙平章事杜佑副使門下侍郎。平章事杜黄裳持節冊命於戲。爾有光大之徳，敷於萬邦。爾有仁孝之誠，型于九族，慈和寛簡，克饗天心。𤣥符不可以固違，明命不可以不畏。爾惟察納忠直，子恵困窮，咨於正言，慎乃儉徳，臨庶官以信，安庶獄，以情允執，厥中無忝我祖宗之丕訓。
帝王,即位冊文,6,穆宗即位冊文,,"維元和十五年嵗次庚子閏正月甲辰朔三日丙午皇
帝若曰於戲上天降鑒保佑於我國家十聖丕承光宅
四海鴻休大業以逮予一人嚴恭祇畏懼弗克荷賴宗
社垂慶生靈乂安今朕寢疾彌留弗興弗寤神器所付
屬之元良咨爾皇太子恒孝友聰明温文&KR0790;哲自主七
鬯日新厥徳必能纘予勤志綏靖萬邦是用命爾陟于
元后宜令中書門下侍郎平章事令狐楚奉冊即皇帝
位懋建皇極無忝我祖宗之休烈",維元和十五年嵗次庚子，閏正月甲辰朔三日丙午，皇帝若曰：於戲上天降鑒，保佑於我國家，十聖丕承光宅，四海，鴻休，大業，以逮予一人嚴恭，祇畏懼弗克，荷賴宗社垂慶，生靈乂安。今朕寢疾彌留，弗興弗寤，神器所付，屬之元良。咨爾皇太子恒孝友聰明，温文，□哲自主，七鬯，日新，厥徳必能纘予勤志，綏靖萬邦，是用命爾陟于元后，宜令中書門下侍郎。平章事令狐楚奉冊即皇帝位，懋建皇極，無忝我祖宗之休烈。
帝王,即位冊文,7,敬宗即位冊文,,"維長慶四年嵗次甲辰正月辛亥朔二十六日丙子皇
帝若曰惟天輔唐徳我祖宗克答天意邁徳勤道紹休
大業洎予一人嗣守四海祇事天地愛育萬𩔖罔或怠
惰於兹五年今寢疾彌留不興不寤獲以重器付之元
良咨爾皇太子湛列祖儲慶自天生徳孝友慈恵温良
敬恭必能輯寧家邦輝光緒業是用命爾陟於元后宜
令中書侍郎平章事牛僧孺奉冊即皇帝位爾有廣厚
之量可以奉天地爾有孝敬之志可以事神祗和恵可
以撫萬邦仁愛可以親九族任賢尚徳逺佞去邪爾惟
欽承無忝我祖宗之休烈",維長慶四年嵗次甲辰正月辛亥朔二十六日丙子，皇帝若曰：惟天輔唐徳，我祖宗克答天意，邁徳勤道，紹休大業，洎予一人，嗣守四海，祇事天地，愛育萬𩔖，罔或怠惰，於兹五年。今寢疾彌留，不興不寤，獲以重器，付之元良。咨爾皇太子湛列祖儲，慶，自天生徳，孝友慈恵，温良敬恭，必能輯寧家邦，輝光緒，業是用命。爾陟於元后，宜令中書侍郎。平章事牛僧孺奉冊即皇帝位。爾有廣厚之量，可以奉天地；爾有孝敬之志，可以事神祗，和恵可以撫萬邦，仁愛可以親九族，任賢尚徳，逺佞去邪！爾惟欽承無忝我祖宗之休烈。
帝王,即位冊文,8,文宗即位冊文,,"維寳厯二年嵗次丙午十二月甲午朔十二日乙巳太
皇太后若曰大行皇帝&KR0790;哲英靈對天明命方夏底績
夷蠻貢庭罔有不端大康有截宜荷九廟之重永享億
年之禄豈虞姦妖竊發矯専神器蠱惑中外扇誘羣萌
駭動神人釁深梟獍咨爾江王某聰哲孕粹清明敏和
智筭機開𤣥謀電發躬率義勇大清兇徒且膺當璧之
符爰攄枕戈之憤既殱巨害當享豐福是用命爾陟於
元后宜令司空平章事裴度奉冊即皇帝位永惟髙祖
太宗之剪定隋亂𤣥宗之寢漬利澤憲宗之竪㧞蠧孽
艱難險阻朂乃負荷小心以事上帝儉徳以型家邦懋
於令聞持久如始敬之哉",維寳厯二年嵗次丙午。十二月甲午朔。十二日（乙巳，太皇太后若曰：大行皇帝，□哲英靈，對天明命，方夏底績，夷蠻貢庭，罔有不端，大康有截，宜荷九廟之重，永享億年之禄。豈虞姦妖竊發，矯専神器，蠱惑中外，扇誘羣萌，駭動神人，釁深梟獍。咨爾江王某，聰哲孕粹，清明敏和智筭機開，𤣥謀電發，躬率義勇，大清兇徒，且膺當璧之符。爰攄枕戈之憤，既殱巨害，當享豐福。是用命爾陟於元后，宜令司空平章事裴度奉冊即皇帝位，永惟髙祖。太宗之剪定隋亂，𤣥宗之寢漬，利澤憲宗之竪㧞蠧孽，艱難險阻，朂乃負荷小心，以事上帝，儉徳以型家邦，懋於令聞，持久如始，敬之哉！
帝王,即位冊文,9,宣宗即位冊文,,"維㑹昌六年嵗次丙寅三月壬寅朔二十六日丁邜皇
帝若曰惟𤣥穹降祚啟我唐運奕葉重暉赫羲纂承
列聖顧瞻敷佑冲昧獲承大寳君臨兆人懼不能任夙夜
競厲祇事九廟於今七年實賴宗社之靈台衮之輔忠
良畢力内外協心北剪山戎東殱孽䜿不失𫝊付之業
方期仁夀之寧屬頤護或虧寒暑致恙禱神餌藥有加
無瘳乃親賢而委家國皇太叔權勾當軍國政事温慈
&KR0790;哲孝友端明藴東平為善之心尚河間好學之志必
能燾煦天下穆清大中於戲惟敬惟和克敏克寛斥去
竒邪親任仁人是用終陟元后宜令某官奉冊即皇帝
位欽若天道緝熈帝圖懋哉敬哉",維㑹昌六年嵗次丙寅三月壬寅朔二十六日丁邜，皇帝若曰：惟𤣥穹降祚，啟我唐運，奕葉重暉，赫羲，纂承列聖，顧瞻敷佑，冲昧，獲承大寳，君臨兆人，懼不能任，夙夜競厲，祇事九廟。於今七年，實賴宗社之靈，台衮之輔，忠良畢力，内外協心，北剪山戎，東殱孽䜿，不失𫝊付之業，方期仁夀之寧屬頤護，或虧寒暑致恙，禱神餌藥，有加無瘳。乃親賢而委家國。皇太叔權，勾當軍國政事，温慈□哲，孝友端明，藴東平為善之心，尚河間好學之志，必能燾煦天下，穆清大中，於戲惟敬惟和，克敏克寛，斥去竒邪，親任仁人，是用，終陟元后，宜令某官奉冊，即皇帝位，欽若天道，緝熈帝圖，懋哉！敬哉！
帝王,即位冊文,10,懿宗即位冊文,,"維大中十三年嵗次己卯八月甲申朔十三日丙申皇
帝若曰眷彼羣生必有司牧纘承丕構允屬元良故命
嗣惟賢立賢則長夏禹惟公於聖子漢文終守其成規
茲乃萬國攸同百王不易之道也朕以菲薄獲奉宗祧
十有四年未臻至理惟天示譴降疚于躬藥石無功彌
留斯迫厯數云在天命有歸咨爾皇太子朕之元子㓜
有聖質孝敬温文𢎞博慎敏稟天地之仁(闕/)含日月之貞
明承訓嚮方秉禮抱義是用命爾陟於元后宜令攝中
書令中書侍郎兼禮部尚書平章事蕭朗奉冊即皇帝
位邦家以寜統緒以正惟嚴恭祗畏可以事天地惟寛
明睿哲可以御臣下惟慈恵欽和可以撫黎庶惟道罔
咈惟賢必親實爾生知豈竢訓誨著於典冊無事文詞
懋昭耿光紹休前烈於戲敬之於戲戒之",維大中十三年嵗次己卯八月甲申朔十三日（丙申，皇帝若曰：眷彼羣生，必有司牧，纘承丕構，允屬元良，故命嗣惟賢，立賢則長。夏禹惟公於聖子，漢文終守其成規。茲乃萬國攸同，百王不易之道也。朕以菲薄獲奉宗祧，十有四年，未臻至理。惟天示譴，降疚于躬，藥石無功，彌留斯迫。厯數云在天命有歸咨爾皇太子，朕之元子，㓜有聖質，孝敬温文，𢎞博慎敏，稟天地之仁。(闕/）)）含日月之貞明，承訓嚮方，秉禮抱義，是用命爾陟於元后，宜令攝中書令。中書侍郎兼禮部尚書平章事蕭朗奉冊即皇帝位，邦家以寜，統緒以正，惟嚴恭祗畏，可以事天地，惟寛明睿哲，可以御臣下，惟慈恵欽和，可以撫黎庶，惟道罔咈，惟賢必親，實爾生知，豈竢訓誨著於典冊，無事文詞懋昭，耿光紹休前烈於戲，敬之於戲，戒之
